Submitted identifier,Found identifier,Resource
ENSG00000131759,P10276,UNIPROT
ENSG00000146282,Q5T160,UNIPROT
ENSG00000141447,Q9BXW6,UNIPROT
ENSG00000111331,Q9Y6K5,UNIPROT
ENSG00000185219,P59923,UNIPROT
ENSG00000059769,P50151,UNIPROT
ENSG00000106052,Q86VP1,UNIPROT
ENSG00000184216,P51617,UNIPROT
ENSG00000184216,P51617-1,UNIPROT
ENSG00000144021,O76071,UNIPROT
ENSG00000102384,Q92674,UNIPROT
ENSG00000169131,O60765,UNIPROT
ENSG00000074266,O75530,UNIPROT
ENSG00000074266,ENSG00000074266,ENSEMBL
ENSG00000113580,P04150-5,UNIPROT
ENSG00000113580,P04150-4,UNIPROT
ENSG00000113580,P04150,UNIPROT
ENSG00000113580,P04150-7,UNIPROT
ENSG00000113580,P04150-6,UNIPROT
ENSG00000113580,P04150-9,UNIPROT
ENSG00000113580,P04150-8,UNIPROT
ENSG00000113580,P04150-1,UNIPROT
ENSG00000113580,P04150-3,UNIPROT
ENSG00000113580,P04150-2,UNIPROT
ENSG00000034152,P46734-3,UNIPROT
ENSG00000034152,P46734,UNIPROT
ENSG00000234127,Q12899,UNIPROT
ENSG00000204920,Q12901,UNIPROT
ENSG00000166704,Q8WXB4,UNIPROT
ENSG00000198722,O14795,UNIPROT
ENSG00000146376,Q8N392,UNIPROT
ENSG00000132604,Q15554,UNIPROT
ENSG00000196152,Q15937,UNIPROT
ENSG00000121406,Q6P9A3,UNIPROT
ENSG00000133895,O00255,UNIPROT
ENSG00000012174,O43462,UNIPROT
ENSG00000196150,P15622,UNIPROT
ENSG00000109107,P09972,UNIPROT
ENSG00000001084,P48506,UNIPROT
ENSG00000116649,P19623,UNIPROT
ENSG00000117676,Q15418,UNIPROT
ENSG00000198315,Q15776,UNIPROT
ENSG00000104228,Q9UPQ4,UNIPROT
ENSG00000159788,O14924,UNIPROT
ENSG00000119689,P36957,UNIPROT
ENSG00000170471,Q86X10,UNIPROT
ENSG00000163590,Q5SGD2,UNIPROT
ENSG00000153575,Q96RT8,UNIPROT
ENSG00000133619,A5PL33,UNIPROT
ENSG00000100749,Q99986,UNIPROT
ENSG00000166949,P84022,UNIPROT
ENSG00000159479,Q96G25,UNIPROT
ENSG00000213999,Q02080,UNIPROT
ENSG00000170265,Q9UDV7,UNIPROT
ENSG00000166068,Q7Z699,UNIPROT
ENSG00000110330,Q13490,UNIPROT
ENSG00000111012,O15528,UNIPROT
ENSG00000103490,Q9ULZ3,UNIPROT
ENSG00000204389,P08107,UNIPROT
ENSG00000204389,ENSG00000204389,ENSEMBL
ENSG00000120693,O15198,UNIPROT
ENSG00000136279,Q9UJU6,UNIPROT
ENSG00000163961,Q8IYW5,UNIPROT
ENSG00000151332,Q9NS73,UNIPROT
ENSG00000111206,Q08050,UNIPROT
ENSG00000162302,O75676,UNIPROT
ENSG00000067064,ENSG00000067064,ENSEMBL
ENSG00000067064,Q13907,UNIPROT
ENSG00000110063,Q96C86,UNIPROT
ENSG00000108389,Q9NYA4,UNIPROT
ENSG00000160789,P02545-2,UNIPROT
ENSG00000160789,P02545-1,UNIPROT
ENSG00000160789,P02545,UNIPROT
ENSG00000160789,ENSG00000160789,ENSEMBL
ENSG00000197724,O75151,UNIPROT
ENSG00000140259,P55081,UNIPROT
ENSG00000152944,Q13503,UNIPROT
ENSG00000095261,Q16401,UNIPROT
ENSG00000106299,O00401,UNIPROT
ENSG00000163539,O75122,UNIPROT
ENSG00000121851,Q9BT43,UNIPROT
ENSG00000185504,Q0VG06,UNIPROT
ENSG00000106290,P49848,UNIPROT
ENSG00000156735,O95429,UNIPROT
ENSG00000094804,Q99741,UNIPROT
ENSG00000137962,Q52LW3,UNIPROT
ENSG00000005801,O14628,UNIPROT
ENSG00000129933,Q9Y6X3,UNIPROT
ENSG00000007933,P31513,UNIPROT
ENSG00000184254,P47895,UNIPROT
ENSG00000138829,P35556,UNIPROT
ENSG00000106012,Q6IPM2,UNIPROT
ENSG00000074803,Q13621,UNIPROT
ENSG00000180228,O75569,UNIPROT
ENSG00000164172,O96033,UNIPROT
ENSG00000164172,O96007,UNIPROT
ENSG00000110799,P04275,UNIPROT
ENSG00000131845,Q9HCX3,UNIPROT
ENSG00000100813,Q9UKV3,UNIPROT
ENSG00000166401,P50452,UNIPROT
ENSG00000196867,Q8NHY6,UNIPROT
ENSG00000138814,Q08209,UNIPROT
ENSG00000162521,Q09028,UNIPROT
ENSG00000146232,O00221,UNIPROT
ENSG00000102048,Q96DX5,UNIPROT
ENSG00000166803,Q15004,UNIPROT
ENSG00000081870,Q9Y547,UNIPROT
ENSG00000132109,P19474,UNIPROT
ENSG00000147799,Q9C0H5,UNIPROT
ENSG00000080824,P07900,UNIPROT
ENSG00000157450,Q6ZNA4,UNIPROT
ENSG00000139618,P51587,UNIPROT
ENSG00000125266,P52799,UNIPROT
ENSG00000087152,Q14CW9,UNIPROT
ENSG00000101843,O75832,UNIPROT
ENSG00000102978,P19387,UNIPROT
ENSG00000196588,Q969V6,UNIPROT
ENSG00000186020,Q6P280,UNIPROT
ENSG00000141968,P15498,UNIPROT
ENSG00000077549,P47756,UNIPROT
ENSG00000162688,P35573,UNIPROT
ENSG00000117289,Q9H3M7,UNIPROT
ENSG00000105137,Q6ZW31,UNIPROT
ENSG00000160563,Q6P2C8,UNIPROT
ENSG00000129810,Q5FBB7,UNIPROT
ENSG00000169047,P35568,UNIPROT
ENSG00000100028,P62318,UNIPROT
ENSG00000127081,Q5JVG2,UNIPROT
ENSG00000117399,Q12834,UNIPROT
ENSG00000177084,Q07864,UNIPROT
ENSG00000105810,Q00534,UNIPROT
ENSG00000185627,Q9UNM6,UNIPROT
ENSG00000182134,Q9Y2W6,UNIPROT
ENSG00000005812,Q9UKT7,UNIPROT
ENSG00000171206,Q9BZR9,UNIPROT
ENSG00000117697,Q96IY1,UNIPROT
ENSG00000113231,O95263,UNIPROT
ENSG00000185122,Q00613,UNIPROT
ENSG00000081087,Q86WC4,UNIPROT
ENSG00000166135,Q9NWT6,UNIPROT
ENSG00000174175,P16109,UNIPROT
ENSG00000135747,Q9BS34,UNIPROT
ENSG00000187498,P02462,UNIPROT
ENSG00000135740,Q14940,UNIPROT
ENSG00000086102,O43831,UNIPROT
ENSG00000101868,P09884,UNIPROT
ENSG00000183207,Q9Y230,UNIPROT
ENSG00000122643,Q9H0P0-4,UNIPROT
ENSG00000114573,P38606,UNIPROT
ENSG00000169062,Q9H1J1-2,UNIPROT
ENSG00000169062,Q9H1J1,UNIPROT
ENSG00000168495,P05423,UNIPROT
ENSG00000175334,O75531,UNIPROT
ENSG00000170949,Q9HCG1,UNIPROT
ENSG00000196510,Q9UJX3,UNIPROT
ENSG00000102172,P52788,UNIPROT
ENSG00000145734,A6H8Y1,UNIPROT
