Pathway identifier,Pathway name,# Entities found,# Entities total,Entities ratio,Entities pValue,Entities FDR,# Reactions found,# Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-5676590,"NIK-->noncanonical NF-kB signaling",17,60,0.005886970172684459,0.0013614600017438638,0.3843870288729385,7,9,0.001098901098901099,48887,Homo sapiens,"ENSG00000136930;ENSG00000095261;ENSG00000101843;ENSG00000104856;ENSG00000100519;ENSG00000113558;ENSG00000100519;ENSG00000100902;ENSG00000077150;ENSG00000136930;ENSG00000099341;ENSG00000185627;ENSG00000108344;ENSG00000213341;ENSG00000095261;ENSG00000008018;ENSG00000166167;ENSG00000100902;ENSG00000104856;ENSG00000159352;ENSG00000159352;ENSG00000166167;ENSG00000008018;ENSG00000099341;ENSG00000115233;ENSG00000115233;ENSG00000092010;ENSG00000092010;ENSG00000213341;ENSG00000113558;ENSG00000108344;ENSG00000185627;ENSG00000101843;ENSG00000077150","P48556;O43242;Q9Y297;Q06323;O00487;Q99436;O15111;P20618;Q01201;Q00653;Q9UNM6;P63208;P55036;P62333;P60900;O75832;Q16401","R-HSA-5607731;R-HSA-5607723;R-HSA-5607722;R-HSA-5607720;R-HSA-5607726;R-HSA-5607725;R-HSA-5607741"
R-HSA-68867,"Assembly of the pre-replicative complex",18,67,0.006573783359497645,0.001778187021635791,0.3843870288729385,11,12,0.0014652014652014652,48887,Homo sapiens,"ENSG00000136930;ENSG00000095261;ENSG00000101843;ENSG00000112312;ENSG00000100519;ENSG00000112242;ENSG00000100519;ENSG00000100902;ENSG00000085840;ENSG00000112242;ENSG00000085840;ENSG00000099341;ENSG00000136930;ENSG00000108344;ENSG00000185627;ENSG00000095261;ENSG00000008018;ENSG00000100902;ENSG00000094804;ENSG00000159352;ENSG00000159352;ENSG00000008018;ENSG00000164815;ENSG00000073111;ENSG00000099341;ENSG00000115233;ENSG00000164815;ENSG00000115233;ENSG00000073111;ENSG00000094804;ENSG00000092010;ENSG00000112312;ENSG00000092010;ENSG00000185627;ENSG00000108344;ENSG00000101843","P48556;O43242;Q06323;O75496;O00487;Q99436;P20618;Q99741;Q9UNM6;O43913;P55036;P49736;P62333;Q13415;P60900;O75832;O00716;Q16401","R-HSA-68603;R-HSA-68637;R-HSA-176973;R-HSA-68849;R-HSA-68712;R-HSA-68611;R-HSA-68610;R-HSA-68825;R-HSA-68688;R-HSA-68615;R-HSA-68826"
R-HSA-68827,"CDT1 association with the CDC6:ORC:origin complex",16,58,0.005690737833594976,0.002405109539791228,0.3843870288729385,3,3,3.663003663003663E-4,48887,Homo sapiens,"ENSG00000136930;ENSG00000095261;ENSG00000101843;ENSG00000112312;ENSG00000100519;ENSG00000100519;ENSG00000100902;ENSG00000085840;ENSG00000085840;ENSG00000136930;ENSG00000099341;ENSG00000185627;ENSG00000108344;ENSG00000095261;ENSG00000008018;ENSG00000100902;ENSG00000094804;ENSG00000159352;ENSG00000159352;ENSG00000008018;ENSG00000164815;ENSG00000115233;ENSG00000099341;ENSG00000164815;ENSG00000115233;ENSG00000094804;ENSG00000092010;ENSG00000112312;ENSG00000092010;ENSG00000108344;ENSG00000185627;ENSG00000101843","P48556;O43242;Q06323;O75496;O00487;Q99436;P20618;Q99741;Q9UNM6;O43913;P55036;P62333;Q13415;P60900;O75832;Q16401","R-HSA-68712;R-HSA-68825;R-HSA-68826"
R-HSA-174113,"SCF-beta-TrCP mediated degradation of Emi1",15,54,0.005298273155416013,0.0030320124474960686,0.3843870288729385,3,3,3.663003663003663E-4,48887,Homo sapiens,"ENSG00000136930;ENSG00000095261;ENSG00000101843;ENSG00000100519;ENSG00000113558;ENSG00000100519;ENSG00000100902;ENSG00000136930;ENSG00000117399;ENSG00000099341;ENSG00000108344;ENSG00000185627;ENSG00000095261;ENSG00000008018;ENSG00000166167;ENSG00000100902;ENSG00000159352;ENSG00000159352;ENSG00000166167;ENSG00000008018;ENSG00000099341;ENSG00000115233;ENSG00000115233;ENSG00000092010;ENSG00000092010;ENSG00000117399;ENSG00000113558;ENSG00000108344;ENSG00000185627;ENSG00000101843","P48556;O43242;Q9Y297;Q06323;Q12834;O00487;Q99436;P20618;Q9UNM6;P63208;P55036;P62333;P60900;O75832;Q16401","R-HSA-174209;R-HSA-174159;R-HSA-174203"
R-HSA-5607761,"Dectin-1 mediated noncanonical NF-kB signaling",17,65,0.006377551020408163,0.003066135746918941,0.3843870288729385,8,9,0.001098901098901099,48887,Homo sapiens,"ENSG00000136930;ENSG00000095261;ENSG00000101843;ENSG00000104856;ENSG00000100519;ENSG00000113558;ENSG00000100519;ENSG00000100902;ENSG00000077150;ENSG00000136930;ENSG00000099341;ENSG00000185627;ENSG00000108344;ENSG00000213341;ENSG00000095261;ENSG00000008018;ENSG00000166167;ENSG00000100902;ENSG00000104856;ENSG00000159352;ENSG00000159352;ENSG00000166167;ENSG00000008018;ENSG00000099341;ENSG00000115233;ENSG00000115233;ENSG00000092010;ENSG00000092010;ENSG00000213341;ENSG00000113558;ENSG00000108344;ENSG00000185627;ENSG00000101843;ENSG00000077150","P48556;O43242;Q9Y297;Q06323;O00487;Q99436;O15111;P20618;Q01201;Q00653;Q9UNM6;P63208;P55036;P62333;P60900;O75832;Q16401","R-HSA-5607731;R-HSA-5607723;R-HSA-5607722;R-HSA-5660965;R-HSA-5607720;R-HSA-5607726;R-HSA-5607725;R-HSA-5607741"
R-HSA-1169091,"Activation of NF-kappaB in B cells",18,71,0.006966248037676609,0.0032521027679977,0.3843870288729385,7,10,0.001221001221001221,48887,Homo sapiens,"ENSG00000136930;ENSG00000095261;ENSG00000101843;ENSG00000109320;ENSG00000100519;ENSG00000113558;ENSG00000100519;ENSG00000100902;ENSG00000135341;ENSG00000136930;ENSG00000099341;ENSG00000185627;ENSG00000108344;ENSG00000213341;ENSG00000095261;ENSG00000008018;ENSG00000166167;ENSG00000100902;ENSG00000109320;ENSG00000135341;ENSG00000159352;ENSG00000159352;ENSG00000166167;ENSG00000146232;ENSG00000008018;ENSG00000099341;ENSG00000115233;ENSG00000115233;ENSG00000092010;ENSG00000092010;ENSG00000213341;ENSG00000113558;ENSG00000108344;ENSG00000146232;ENSG00000185627;ENSG00000101843","P48556;O43242;Q9Y297;Q06323;P19838;O00487;Q99436;O15111;P20618;O43318;Q9UNM6;P63208;P55036;P62333;P60900;O00221;O75832;Q16401","R-HSA-1168633;R-HSA-1168641;R-HSA-1168637;R-HSA-1168640;R-HSA-1168643;R-HSA-1168642;R-HSA-1168638"
R-HSA-69304,"Regulation of DNA replication",19,77,0.007554945054945055,0.003395818133386741,0.3843870288729385,14,14,0.0017094017094017094,48887,Homo sapiens,"ENSG00000136930;ENSG00000095261;ENSG00000101843;ENSG00000112312;ENSG00000100519;ENSG00000112242;ENSG00000100519;ENSG00000100902;ENSG00000085840;ENSG00000112242;ENSG00000085840;ENSG00000099341;ENSG00000136930;ENSG00000108344;ENSG00000185627;ENSG00000095261;ENSG00000008018;ENSG00000111276;ENSG00000100902;ENSG00000094804;ENSG00000159352;ENSG00000159352;ENSG00000008018;ENSG00000073111;ENSG00000164815;ENSG00000099341;ENSG00000115233;ENSG00000164815;ENSG00000115233;ENSG00000073111;ENSG00000094804;ENSG00000092010;ENSG00000112312;ENSG00000092010;ENSG00000185627;ENSG00000108344;ENSG00000101843;ENSG00000111276","P48556;O43242;Q06323;O75496;O00487;Q99436;P20618;Q99741;Q9UNM6;O43913;P55036;P49736;P62333;Q13415;P60900;P46527;O75832;O00716;Q16401","R-HSA-69015;R-HSA-68712;R-HSA-69019;R-HSA-68948;R-HSA-68611;R-HSA-69016;R-HSA-68946;R-HSA-68947;R-HSA-68944;R-HSA-68940;R-HSA-69299;R-HSA-68637;R-HSA-69006;R-HSA-69005"
R-HSA-169911,"Regulation of Apoptosis",14,50,0.004905808477237049,0.0038231730386775187,0.3843870288729385,4,4,4.884004884004884E-4,48887,Homo sapiens,"ENSG00000136930;ENSG00000095261;ENSG00000101843;ENSG00000100519;ENSG00000100519;ENSG00000180370;ENSG00000100902;ENSG00000136930;ENSG00000099341;ENSG00000108344;ENSG00000185627;ENSG00000071205;ENSG00000095261;ENSG00000008018;ENSG00000100902;ENSG00000159352;ENSG00000159352;ENSG00000008018;ENSG00000099341;ENSG00000115233;ENSG00000071205;ENSG00000115233;ENSG00000092010;ENSG00000092010;ENSG00000180370;ENSG00000108344;ENSG00000185627;ENSG00000101843","P48556;O43242;Q06323;Q13177;O00487;Q99436;P20618;Q9UNM6;P55036;P62333;A1A4S6;P60900;O75832;Q16401","R-HSA-211734;R-HSA-211716;R-HSA-211731;R-HSA-211715"
R-HSA-68874,"M/G1 Transition",20,85,0.008339874411302984,0.004521015445222543,0.3843870288729385,19,20,0.002442002442002442,48887,Homo sapiens,"ENSG00000095261;ENSG00000136930;ENSG00000101843;ENSG00000177084;ENSG00000100519;ENSG00000101868;ENSG00000112312;ENSG00000112242;ENSG00000100519;ENSG00000100902;ENSG00000112242;ENSG00000085840;ENSG00000085840;ENSG00000136930;ENSG00000099341;ENSG00000108344;ENSG00000185627;ENSG00000095261;ENSG00000008018;ENSG00000100902;ENSG00000094804;ENSG00000159352;ENSG00000159352;ENSG00000008018;ENSG00000177084;ENSG00000073111;ENSG00000164815;ENSG00000099341;ENSG00000115233;ENSG00000164815;ENSG00000115233;ENSG00000073111;ENSG00000094804;ENSG00000092010;ENSG00000112312;ENSG00000092010;ENSG00000101868;ENSG00000185627;ENSG00000108344;ENSG00000101843","P48556;Q07864;O43242;Q06323;P09884;O75496;O00487;Q99436;P20618;Q99741;Q9UNM6;O43913;P55036;P49736;P62333;Q13415;P60900;O75832;O00716;Q16401","R-HSA-68603;R-HSA-68954;R-HSA-68712;R-HSA-68611;R-HSA-68914;R-HSA-68610;R-HSA-68916;R-HSA-68917;R-HSA-68615;R-HSA-68918;R-HSA-68919;R-HSA-68940;R-HSA-68637;R-HSA-176973;R-HSA-68849;R-HSA-68688;R-HSA-68825;R-HSA-68960;R-HSA-68826"
R-HSA-69002,"DNA Replication Pre-Initiation",20,85,0.008339874411302984,0.004521015445222543,0.3843870288729385,19,20,0.002442002442002442,48887,Homo sapiens,"ENSG00000095261;ENSG00000136930;ENSG00000101843;ENSG00000177084;ENSG00000100519;ENSG00000101868;ENSG00000112312;ENSG00000112242;ENSG00000100519;ENSG00000100902;ENSG00000112242;ENSG00000085840;ENSG00000085840;ENSG00000136930;ENSG00000099341;ENSG00000108344;ENSG00000185627;ENSG00000095261;ENSG00000008018;ENSG00000100902;ENSG00000094804;ENSG00000159352;ENSG00000159352;ENSG00000008018;ENSG00000177084;ENSG00000073111;ENSG00000164815;ENSG00000099341;ENSG00000115233;ENSG00000164815;ENSG00000115233;ENSG00000073111;ENSG00000094804;ENSG00000092010;ENSG00000112312;ENSG00000092010;ENSG00000101868;ENSG00000185627;ENSG00000108344;ENSG00000101843","P48556;Q07864;O43242;Q06323;P09884;O75496;O00487;Q99436;P20618;Q99741;Q9UNM6;O43913;P55036;P49736;P62333;Q13415;P60900;O75832;O00716;Q16401","R-HSA-68603;R-HSA-68954;R-HSA-68712;R-HSA-68611;R-HSA-68914;R-HSA-68610;R-HSA-68916;R-HSA-68917;R-HSA-68615;R-HSA-68918;R-HSA-68919;R-HSA-68940;R-HSA-68637;R-HSA-176973;R-HSA-68849;R-HSA-68688;R-HSA-68825;R-HSA-68960;R-HSA-68826"
