,cytoplasm,nucleus,nucleuscytoplasm
hsa00010,0.492470903,0.171270367,0.168130725
hsa00020,0.059693443,0,0.224174299
hsa00030,0.498310479,0.357433809,0.467842016
hsa00040,0,0.3736808,0.489107562
hsa00051,0.22620673,0.576910709,0.283167536
hsa00052,0.409326465,0.195737562,0
hsa00053,0.238773771,0.456720978,0.896697197
hsa00061,0.818652929,0.195737562,0
hsa00071,0.110203279,0.316191446,0
hsa00072,0.238773771,0,0
hsa00100,0.318365028,0,0.597798132
hsa00130,0.57305705,0.548065174,0
hsa00140,0.716321313,0,0
hsa00190,0.14569247,0.185784805,0.273568637
hsa00220,0.358160656,0.342540734,0.672522898
hsa00230,0.323046867,0.497019888,0.580215834
hsa00240,0.141246456,0.733326641,0.606217824
hsa00250,0.644689182,0.137016293,0.269009159
hsa00260,0.477547542,0.130491708,0
hsa00270,0.53060838,0.355227427,0.797064176
hsa00280,0.153497424,0.195737562,0
hsa00290,1.432642626,0,0
hsa00310,0.037701122,0.432683032,0.424751304
hsa00330,0.298467214,0.228360489,0.672522898
hsa00340,0.511658081,0.097868781,0
hsa00350,0.286528525,0.456720978,0.358678879
hsa00360,0.358160656,0.342540734,0.672522898
hsa00380,0.358160656,0.057090122,0.224174299
hsa00400,1.432642626,0,0
hsa00410,0.268620492,0.171270367,0.672522898
hsa00430,0,0.342540734,0
hsa00450,0.440813116,0.421588595,0.413860245
hsa00480,0.543416168,0.141740993,1.113141349
hsa00500,0.477547542,0.228360489,0.448348599
hsa00510,0.143264263,0.274032587,0
hsa00511,0.286528525,0.41104888,0.538018318
hsa00512,0.143264263,0.274032587,0
hsa00514,0.119386885,0.342540734,0.896697197
hsa00520,0.313390574,0.25690555,0.336261449
hsa00524,1.432642626,0,0
hsa00531,0.57305705,0.548065174,0
hsa00532,0.390720716,0,1.467322687
hsa00533,0.238773771,0,0
hsa00534,0.286528525,0.548065174,1.076036637
hsa00561,0.204663232,0.146803172,0.192149399
hsa00562,0.433124515,0.254914034,0.500482157
hsa00563,0.477547542,0,0
hsa00564,0.318365028,0.304480652,0.239119253
hsa00565,0.337092383,0,0
hsa00590,0.674184765,0,0
hsa00591,1.432642626,0,0
hsa00592,0.716321313,0.228360489,0
hsa00600,0.168546191,0.08059782,0.632962728
hsa00604,0.477547542,0.456720978,0
hsa00620,0.298467214,0.057090122,0.224174299
hsa00630,0.337092383,0.08059782,0
hsa00640,0.337092383,0.08059782,0
hsa00650,0.110203279,0.105397149,0
hsa00670,0.520960955,0,0.978215125
hsa00730,0.477547542,0,0
hsa00740,0.477547542,0,0
hsa00750,1.074481969,0,1.345045796
hsa00760,0.520960955,0.249120533,0.489107562
hsa00770,0.286528525,0.274032587,0
hsa00780,0.955095084,0,0
hsa00785,0,0.685081467,0
hsa00790,0.613989697,0,1.537195196
hsa00830,0.286528525,0,0
hsa00860,0.286528525,0,0
hsa00900,0.520960955,0,0.489107562
hsa00910,0.409326465,0.195737562,0
hsa00920,0,0.342540734,0
hsa00970,0.696961278,0.074062861,0.727051782
hsa00980,0.358160656,0.428175917,0.336261449
hsa00982,0.382038034,0.365376782,0.717357758
hsa00983,0.57305705,0.548065174,0
hsa01040,0,0.137016293,0
hsa02010,0.159182514,0.152240326,0
hsa03008,0.11461141,0.657678208,0.645621982
hsa03010,0.821148822,0.133674433,0.06561199
hsa03013,0.405464894,0.426560159,0.507564451
hsa03015,0.275508197,0.606033605,0.517325306
hsa03018,0.434909369,0.391475124,0.192149399
hsa03020,0,0.970532078,0.672522898
hsa03022,0.04940147,1.03943395,0.742094232
hsa03030,0,1.03943395,0.556570674
hsa03040,0.029846721,1.084712323,0.392305024
hsa03050,0.245595879,0.352327612,1.076036637
hsa03060,0.511658081,0.293606343,0
hsa03320,0.184857113,0.220994022,0.520662889
hsa03410,0.11461141,1.04132383,0.430414655
hsa03420,0.044770082,1.113257384,0.336261449
hsa03430,0,1.225935257,0.283167536
hsa03440,0,0.76120163,0.597798132
hsa03450,0,1.233146641,0
hsa03460,0.143264263,0.685081467,0.403513739
hsa04010,0.282187184,0.446340956,0.774420307
hsa04012,0.401139935,0.356242363,0.107603664
hsa04014,0.382038034,0.334928717,0.358678879
hsa04015,0.369714226,0.3388575,0.347108593
hsa04020,0.291384941,0.255454106,0.182379091
hsa04022,0.382038034,0.383645622,0.502150431
hsa04024,0.400297204,0.423138553,0.079120341
hsa04060,0.519073415,0.337576375,0.467842016
