pathway_name,q (# genes in chosen),m (#genes in HSA_background)
"  ""Intestinal immune network for IgA production - Homo sapiens (human)""",3,8
"  ""Circadian rhythm - Homo sapiens (human)""",6,20
"  ""Folate biosynthesis - Homo sapiens (human)""",2,7
"  ""Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)""",3,11
"  ""Vitamin B6 metabolism - Homo sapiens (human)""",1,4
"  ""Regulation of autophagy - Homo sapiens (human)""",3,12
"  ""Malaria - Homo sapiens (human)""",5,21
"  ""Glutathione metabolism - Homo sapiens (human)""",6,29
"  ""Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)""",1,5
"  ""Proteasome - Homo sapiens (human)""",7,35
"  ""Leishmaniasis - Homo sapiens (human)""",6,31
"  ""p53 signaling pathway - Homo sapiens (human)""",9,49
"  ""One carbon pool by folate - Homo sapiens (human)""",2,11
"  ""Collecting duct acid secretion - Homo sapiens (human)""",2,11
"  ""Rheumatoid arthritis - Homo sapiens (human)""",5,28
"  ""Cell cycle - Homo sapiens (human)""",18,102
"  ""Other types of O-glycan biosynthesis - Homo sapiens (human)""",2,12
"  ""Inflammatory bowel disease (IBD) - Homo sapiens (human)""",4,24
"  ""Sulfur relay system - Homo sapiens (human)""",1,6
"  ""Aldosterone-regulated sodium reabsorption - Homo sapiens (human)""",2,12
"  ""Ascorbate and aldarate metabolism - Homo sapiens (human)""",1,6
"  ""NOD-like receptor signaling pathway - Homo sapiens (human)""",5,31
"  ""Synaptic vesicle cycle - Homo sapiens (human)""",4,26
"  ""Cysteine and methionine metabolism - Homo sapiens (human)""",4,27
"  ""Herpes simplex infection - Homo sapiens (human)""",15,104
"  ""MAPK signaling pathway - Homo sapiens (human)""",19,132
"  ""Hypertrophic cardiomyopathy (HCM) - Homo sapiens (human)""",4,28
"  ""Adipocytokine signaling pathway - Homo sapiens (human)""",5,35
"  ""Chemical carcinogenesis - Homo sapiens (human)""",2,14
"  ""Chronic myeloid leukemia - Homo sapiens (human)""",7,50
"  ""Basal transcription factors - Homo sapiens (human)""",4,29
"  ""Pancreatic cancer - Homo sapiens (human)""",6,44
"  ""Aminoacyl-tRNA biosynthesis - Homo sapiens (human)""",5,37
"  ""TNF signaling pathway - Homo sapiens (human)""",9,67
"  ""Drug metabolism - cytochrome P450 - Homo sapiens (human)""",2,15
"  ""Vitamin digestion and absorption - Homo sapiens (human)""",2,15
"  ""Cytosolic DNA-sensing pathway - Homo sapiens (human)""",4,30
"  ""NF-kappa B signaling pathway - Homo sapiens (human)""",7,54
"  ""Epstein-Barr virus infection - Homo sapiens (human)""",16,126
"  ""Arginine and proline metabolism - Homo sapiens (human)""",3,24
"  ""RNA polymerase - Homo sapiens (human)""",3,24
"  ""beta-Alanine metabolism - Homo sapiens (human)""",2,16
"  ""Acute myeloid leukemia - Homo sapiens (human)""",4,32
"  ""AMPK signaling pathway - Homo sapiens (human)""",8,64
"  ""Phenylalanine metabolism - Homo sapiens (human)""",1,8
"  ""Arginine biosynthesis - Homo sapiens (human)""",1,8
"  ""TGF-beta signaling pathway - Homo sapiens (human)""",6,49
"  ""RIG-I-like receptor signaling pathway - Homo sapiens (human)""",4,33
"  ""Ribosome biogenesis in eukaryotes - Homo sapiens (human)""",6,50
"  ""Axon guidance - Homo sapiens (human)""",6,50
"  ""Type II diabetes mellitus - Homo sapiens (human)""",2,17
"  ""Sphingolipid metabolism - Homo sapiens (human)""",2,17
"  ""Apoptosis - Homo sapiens (human)""",5,43
"  ""Renal cell carcinoma - Homo sapiens (human)""",5,43
"  ""Insulin resistance - Homo sapiens (human)""",7,61
"  ""Pyrimidine metabolism - Homo sapiens (human)""",8,71
"  ""Ubiquitin mediated proteolysis - Homo sapiens (human)""",10,89
"  ""Amyotrophic lateral sclerosis (ALS) - Homo sapiens (human)""",3,27
"  ""Measles - Homo sapiens (human)""",7,63
"  ""Steroid biosynthesis - Homo sapiens (human)""",1,9
"  ""Homologous recombination - Homo sapiens (human)""",2,18
"  ""Wnt signaling pathway - Homo sapiens (human)""",8,73
"  ""Oocyte meiosis - Homo sapiens (human)""",7,64
"  ""Small cell lung cancer - Homo sapiens (human)""",6,55
"  ""Toll-like receptor signaling pathway - Homo sapiens (human)""",5,46
"  ""HTLV-I infection - Homo sapiens (human)""",15,138
"  ""Purine metabolism - Homo sapiens (human)""",11,102
"  ""B cell receptor signaling pathway - Homo sapiens (human)""",4,38
"  ""SNARE interactions in vesicular transport - Homo sapiens (human)""",2,19
"  ""Systemic lupus erythematosus - Homo sapiens (human)""",2,19
"  ""FoxO signaling pathway - Homo sapiens (human)""",8,77
"  ""DNA replication - Homo sapiens (human)""",3,29
"  ""Non-alcoholic fatty liver disease (NAFLD) - Homo sapiens (human)""",7,68
"  ""Tuberculosis - Homo sapiens (human)""",8,79
"  ""Other glycan degradation - Homo sapiens (human)""",1,10
"  ""Dilated cardiomyopathy - Homo sapiens (human)""",3,30
"  ""Osteoclast differentiation - Homo sapiens (human)""",6,61
"  ""mTOR signaling pathway - Homo sapiens (human)""",4,41
"  ""Legionellosis - Homo sapiens (human)""",3,31
"  ""Toxoplasmosis - Homo sapiens (human)""",6,62
"  ""PPAR signaling pathway - Homo sapiens (human)""",3,31
"  ""mRNA surveillance pathway - Homo sapiens (human)""",5,52
"  ""RNA transport - Homo sapiens (human)""",10,106
"  ""Influenza A - Homo sapiens (human)""",8,85
"  ""cGMP-PKG signaling pathway - Homo sapiens (human)""",7,75
"  ""Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)""",4,43
"  ""Inositol phosphate metabolism - Homo sapiens (human)""",4,43
"  ""Melanoma - Homo sapiens (human)""",3,33
"  ""Hematopoietic cell lineage - Homo sapiens (human)""",2,22
"  ""Nicotinate and nicotinamide metabolism - Homo sapiens (human)""",1,11
"  ""Viral carcinogenesis - Homo sapiens (human)""",10,110
"  ""Pentose and glucuronate interconversions - Homo sapiens (human)""",1,11
"  ""Terpenoid backbone biosynthesis - Homo sapiens (human)""",1,11
"  ""Pathways in cancer - Homo sapiens (human)""",18,199
"  ""Neurotrophin signaling pathway - Homo sapiens (human)""",7,79
"  ""Pentose phosphate pathway - Homo sapiens (human)""",2,23
"  ""Cytokine-cytokine receptor interaction - Homo sapiens (human)""",6,69
"  ""Transcriptional misregulation in cancer - Homo sapiens (human)""",8,94
"  ""Glucagon signaling pathway - Homo sapiens (human)""",4,48
"  ""Non-small cell lung cancer - Homo sapiens (human)""",3,36
"  ""Progesterone-mediated oocyte maturation - Homo sapiens (human)""",4,48
"  ""Starch and sucrose metabolism - Homo sapiens (human)""",1,12
"  ""Hepatitis B - Homo sapiens (human)""",7,85
"  ""Chagas disease (American trypanosomiasis) - Homo sapiens (human)""",4,49
"  ""Amphetamine addiction - Homo sapiens (human)""",2,25
"  ""Base excision repair - Homo sapiens (human)""",2,25
"  ""MicroRNAs in cancer - Homo sapiens (human)""",8,101
"  ""Lysine degradation - Homo sapiens (human)""",3,38
"  ""Staphylococcus aureus infection - Homo sapiens (human)""",1,13
"  ""PI3K-Akt signaling pathway - Homo sapiens (human)""",12,156
"  ""Selenocompound metabolism - Homo sapiens (human)""",1,13
"  ""Oxytocin signaling pathway - Homo sapiens (human)""",5,66
"  ""Colorectal cancer - Homo sapiens (human)""",3,40
"  ""Fanconi anemia pathway - Homo sapiens (human)""",3,40
"  ""Jak-STAT signaling pathway - Homo sapiens (human)""",5,67
"  ""T cell receptor signaling pathway - Homo sapiens (human)""",4,54
"  ""Spliceosome - Homo sapiens (human)""",7,96
"  ""Vibrio cholerae infection - Homo sapiens (human)""",2,28
"  ""Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human)""",2,28
"  ""Dorso-ventral axis formation - Homo sapiens (human)""",1,14
"  ""Circadian entrainment - Homo sapiens (human)""",2,28
"  ""Natural killer cell mediated cytotoxicity - Homo sapiens (human)""",3,44
"  ""ECM-receptor interaction - Homo sapiens (human)""",3,44
"  ""Ras signaling pathway - Homo sapiens (human)""",6,90
"  ""Tyrosine metabolism - Homo sapiens (human)""",1,15
"  ""Insulin signaling pathway - Homo sapiens (human)""",5,76
"  ""Rap1 signaling pathway - Homo sapiens (human)""",6,93
"  ""Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)""",2,32
"  ""Nucleotide excision repair - Homo sapiens (human)""",2,32
"  ""Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)""",1,16
"  ""Huntington's disease - Homo sapiens (human)""",6,98
"  ""Hippo signaling pathway - Homo sapiens (human)""",5,83
"  ""Salmonella infection - Homo sapiens (human)""",3,50
"  ""Endocytosis - Homo sapiens (human)""",9,152
"  ""Gap junction - Homo sapiens (human)""",2,34
"  ""Fc gamma R-mediated phagocytosis - Homo sapiens (human)""",3,52
"  ""Central carbon metabolism in cancer - Homo sapiens (human)""",2,35
"  ""Glioma - Homo sapiens (human)""",2,35
"  ""Choline metabolism in cancer - Homo sapiens (human)""",3,53
"  ""Adherens junction - Homo sapiens (human)""",3,53
"  ""Gastric acid secretion - Homo sapiens (human)""",1,18
"  ""Prion diseases - Homo sapiens (human)""",1,18
"  ""HIF-1 signaling pathway - Homo sapiens (human)""",3,56
"  ""Proteoglycans in cancer - Homo sapiens (human)""",6,113
"  ""Mismatch repair - Homo sapiens (human)""",1,19
"  ""Fructose and mannose metabolism - Homo sapiens (human)""",1,19
"  ""Pertussis - Homo sapiens (human)""",2,38
"  ""Protein processing in endoplasmic reticulum - Homo sapiens (human)""",5,97
"  ""Prolactin signaling pathway - Homo sapiens (human)""",2,39
"  ""Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)""",4,78
"  ""Oxidative phosphorylation - Homo sapiens (human)""",3,59
"  ""Renin secretion - Homo sapiens (human)""",1,20
"  ""Alanine, aspartate and glutamate metabolism - Homo sapiens (human)""",1,20
"  ""Shigellosis - Homo sapiens (human)""",2,41
"  ""Complement and coagulation cascades - Homo sapiens (human)""",1,21
"  ""Salivary secretion - Homo sapiens (human)""",1,22
"  ""Cocaine addiction - Homo sapiens (human)""",1,22
"  ""Morphine addiction - Homo sapiens (human)""",1,22
"  ""Vascular smooth muscle contraction - Homo sapiens (human)""",2,44
"  ""Bile secretion - Homo sapiens (human)""",1,22
"  ""GnRH signaling pathway - Homo sapiens (human)""",2,44
"  ""Tight junction - Homo sapiens (human)""",3,67
"  ""Thyroid hormone signaling pathway - Homo sapiens (human)""",3,67
"  ""Glycerophospholipid metabolism - Homo sapiens (human)""",2,45
"  ""Regulation of lipolysis in adipocytes - Homo sapiens (human)""",1,23
"  ""Focal adhesion - Homo sapiens (human)""",5,115
"  ""Bacterial invasion of epithelial cells - Homo sapiens (human)""",2,48
"  ""Amoebiasis - Homo sapiens (human)""",2,48
"  ""Pyruvate metabolism - Homo sapiens (human)""",1,24
"  ""Citrate cycle (TCA cycle) - Homo sapiens (human)""",1,24
"  ""Neuroactive ligand-receptor interaction - Homo sapiens (human)""",1,24
"  ""Cell adhesion molecules (CAMs) - Homo sapiens (human)""",2,48
"  ""Tryptophan metabolism - Homo sapiens (human)""",1,24
"  ""Phagosome - Homo sapiens (human)""",2,50
"  ""Bladder cancer - Homo sapiens (human)""",1,25
"  ""Long-term potentiation - Homo sapiens (human)""",1,27
"  ""Sphingolipid signaling pathway - Homo sapiens (human)""",2,55
"  ""Phosphatidylinositol signaling system - Homo sapiens (human)""",2,55
"  ""Pancreatic secretion - Homo sapiens (human)""",1,28
"  ""Prostate cancer - Homo sapiens (human)""",2,56
"  ""RNA degradation - Homo sapiens (human)""",2,56
"  ""Glycerolipid metabolism - Homo sapiens (human)""",1,28
"  ""Platelet activation - Homo sapiens (human)""",2,57
"  ""Calcium signaling pathway - Homo sapiens (human)""",2,59
"  ""Chemokine signaling pathway - Homo sapiens (human)""",2,63
"  ""Fc epsilon RI signaling pathway - Homo sapiens (human)""",1,32
"  ""Glycolysis / Gluconeogenesis - Homo sapiens (human)""",1,32
"  ""Hepatitis C - Homo sapiens (human)""",2,65
"  ""Glutamatergic synapse - Homo sapiens (human)""",1,33
"  ""VEGF signaling pathway - Homo sapiens (human)""",1,34
"  ""Inflammatory mediator regulation of TRP channels - Homo sapiens (human)""",1,34
"  ""Regulation of actin cytoskeleton - Homo sapiens (human)""",3,105
"  ""Alzheimer's disease - Homo sapiens (human)""",2,76
"  ""Peroxisome - Homo sapiens (human)""",1,44
"  ""Leukocyte transendothelial migration - Homo sapiens (human)""",1,47
"  ""Dopaminergic synapse - Homo sapiens (human)""",1,48
"  ""Alcoholism - Homo sapiens (human)""",1,50
"  ""ErbB signaling pathway - Homo sapiens (human)""",1,50
"  ""Parkinson's disease - Homo sapiens (human)""",1,58
"  ""cAMP signaling pathway - Homo sapiens (human)""",1,68
"  ""Ribosome - Homo sapiens (human)""",1,82
