ENSG00000001084	hsa:2729
ENSG00000001497	hsa:81887
ENSG00000002822	hsa:8379
ENSG00000003249	hsa:79007
ENSG00000004487	hsa:23028
ENSG00000004866	hsa:7982; hsa:93655
ENSG00000005020	hsa:8935
ENSG00000005801	hsa:7748
ENSG00000005812	hsa:26224
ENSG00000006025	hsa:114881
ENSG00000006042	hsa:26022
ENSG00000006283	hsa:8913
ENSG00000006432	hsa:4293
ENSG00000006576	hsa:57157
ENSG00000006704	hsa:9569
ENSG00000006837	hsa:51265
ENSG00000007202	hsa:9703
ENSG00000007545	hsa:57585
ENSG00000007933	hsa:2328
ENSG00000008018	hsa:5689
ENSG00000008128	hsa:728642
ENSG00000008517	hsa:9235
ENSG00000008869	hsa:54497
ENSG00000010017	hsa:10048
ENSG00000010803	hsa:22955
ENSG00000011007	hsa:6924
ENSG00000011258	hsa:54799
ENSG00000011376	hsa:23395
ENSG00000012124	hsa:933
ENSG00000012174	hsa:51360
ENSG00000013374	hsa:51667
ENSG00000015532	hsa:64132
ENSG00000018408	hsa:25937
ENSG00000018699	hsa:55622
ENSG00000019995	hsa:54764
ENSG00000020577	hsa:23034
ENSG00000020633	hsa:864
ENSG00000021574	hsa:6683
ENSG00000022556	hsa:55655
ENSG00000025293	hsa:51230
ENSG00000025434	hsa:10062
ENSG00000028203	hsa:55591
ENSG00000033100	hsa:54480
ENSG00000034152	hsa:5606
ENSG00000038532	hsa:23274
ENSG00000039560	hsa:26064
ENSG00000041982	hsa:3371
ENSG00000043093	hsa:54165
ENSG00000043514	hsa:54802
ENSG00000046647	hsa:54960
ENSG00000048392	hsa:50484
ENSG00000058091	hsa:5218
ENSG00000059728	hsa:4084
ENSG00000059769	hsa:548645
ENSG00000060749	hsa:79832
ENSG00000061936	hsa:6433
ENSG00000064489	hsa:4207
ENSG00000064999	hsa:23294
ENSG00000065029	hsa:7629
ENSG00000065060	hsa:54887
ENSG00000065485	hsa:10954
ENSG00000065833	hsa:4199
ENSG00000066044	hsa:1994
ENSG00000066084	hsa:57609
ENSG00000066629	hsa:2009
ENSG00000067064	hsa:3422
ENSG00000069399	hsa:602
ENSG00000070423	hsa:55658
ENSG00000070610	hsa:57704
ENSG00000071205	hsa:79658
ENSG00000072415	hsa:64398
ENSG00000072422	hsa:9886
ENSG00000072736	hsa:4775
ENSG00000073111	hsa:4171
ENSG00000073614	hsa:5927
ENSG00000074266	hsa:8726
ENSG00000074803	hsa:6557
ENSG00000075702	hsa:284403
ENSG00000076604	hsa:9618
ENSG00000077549	hsa:832
ENSG00000078328	hsa:54715
ENSG00000078403	hsa:8028
ENSG00000078747	hsa:83737
ENSG00000079102	hsa:862
ENSG00000079112	hsa:1015
ENSG00000079616	hsa:3835
ENSG00000079785	hsa:1653
ENSG00000080007	hsa:55510
ENSG00000080822	hsa:56650
ENSG00000081870	hsa:51668
ENSG00000082126	hsa:58538
ENSG00000082269	hsa:57579
ENSG00000082898	hsa:7514
ENSG00000083312	hsa:3842
ENSG00000083544	hsa:81550
ENSG00000083842	-
ENSG00000084070	hsa:64744
ENSG00000085276	hsa:2122
ENSG00000085644	hsa:7760
ENSG00000085719	hsa:8895
ENSG00000085840	hsa:4998
ENSG00000086102	hsa:4799
ENSG00000086666	hsa:54469
ENSG00000087152	hsa:56970
ENSG00000087263	hsa:55239
ENSG00000087494	hsa:5744
ENSG00000087884	hsa:28971
ENSG00000088808	hsa:23368
ENSG00000088992	hsa:54997
ENSG00000089050	hsa:10741
ENSG00000089693	hsa:8079
ENSG00000089916	hsa:55668
ENSG00000090686	hsa:84196
ENSG00000090924	hsa:64857
ENSG00000091157	hsa:23335
ENSG00000092094	hsa:55644
ENSG00000092931	hsa:79157
ENSG00000094804	hsa:990
ENSG00000095059	hsa:1725
ENSG00000095380	hsa:54187
ENSG00000095574	hsa:64376
ENSG00000096654	hsa:7738
ENSG00000096717	hsa:23411
ENSG00000099256	hsa:56952
ENSG00000099804	hsa:997
ENSG00000099860	hsa:4616
ENSG00000099991	hsa:23523
ENSG00000100028	hsa:6634
ENSG00000100105	hsa:23598
ENSG00000100109	hsa:24144
ENSG00000100220	hsa:51493
ENSG00000100253	hsa:55586
ENSG00000100307	hsa:23492
ENSG00000100320	hsa:23543
ENSG00000100324	hsa:10454
ENSG00000100330	hsa:8897
ENSG00000100519	hsa:5706
ENSG00000100578	hsa:9786
ENSG00000100632	hsa:2079
ENSG00000100644	hsa:3091
ENSG00000100749	hsa:7443
ENSG00000100813	hsa:22985
ENSG00000100902	hsa:5687
ENSG00000101000	hsa:10544
ENSG00000101057	hsa:4605
ENSG00000101109	hsa:6789
ENSG00000101224	hsa:994
ENSG00000101311	hsa:55612
ENSG00000101493	hsa:9658
ENSG00000101745	hsa:23253
ENSG00000101868	hsa:5422
ENSG00000101882	hsa:79576
ENSG00000101940	hsa:64743
ENSG00000102048	hsa:140462
ENSG00000102172	hsa:6611
ENSG00000102383	hsa:158866
ENSG00000102384	hsa:2491
ENSG00000102390	hsa:51260
ENSG00000102401	hsa:51566
ENSG00000102753	hsa:3839
ENSG00000102886	hsa:79153
ENSG00000102931	hsa:23568
ENSG00000102978	hsa:5432
ENSG00000103021	hsa:29070
ENSG00000103037	hsa:79918
ENSG00000103061	hsa:84138
ENSG00000103145	hsa:54985
ENSG00000103152	hsa:4350
ENSG00000103269	hsa:9028
ENSG00000103343	hsa:7727
ENSG00000103479	hsa:5934
ENSG00000103495	hsa:4150
ENSG00000103707	hsa:123263
ENSG00000103742	hsa:57722
ENSG00000103932	hsa:26015
ENSG00000104228	hsa:23087
ENSG00000104517	hsa:51366
ENSG00000104524	hsa:65263
ENSG00000104689	hsa:8797
ENSG00000104756	hsa:54793
ENSG00000104856	hsa:5971
ENSG00000104976	hsa:6618
ENSG00000105072	hsa:84167
ENSG00000105137	hsa:85360
ENSG00000105248	hsa:55702
ENSG00000105287	hsa:25865
ENSG00000105298	hsa:58509
ENSG00000105329	hsa:7040
ENSG00000105483	hsa:22900
ENSG00000105643	hsa:27106
ENSG00000105655	hsa:51477
ENSG00000105708	hsa:7561
ENSG00000105810	hsa:1021
ENSG00000105866	hsa:6671
ENSG00000105967	hsa:22797
ENSG00000106012	hsa:23288
ENSG00000106290	hsa:6878
ENSG00000106459	hsa:4899
ENSG00000106615	hsa:6009
ENSG00000106617	hsa:51422
ENSG00000106780	hsa:1955
ENSG00000106991	hsa:2022
ENSG00000107164	hsa:8939
ENSG00000107263	hsa:2889
ENSG00000107281	hsa:56654
ENSG00000107372	hsa:7763
ENSG00000107679	hsa:59338
ENSG00000107771	hsa:54462
ENSG00000107902	hsa:64077
ENSG00000107938	hsa:26098
ENSG00000107984	hsa:22943
ENSG00000108021	hsa:54906
ENSG00000108344	hsa:5709
ENSG00000108389	hsa:9110
ENSG00000108439	hsa:55163
ENSG00000108443	hsa:6198
ENSG00000108469	hsa:9400
ENSG00000108840	hsa:10014
ENSG00000108861	hsa:1845
ENSG00000108883	hsa:9343
ENSG00000108961	hsa:29098
ENSG00000109107	hsa:230
ENSG00000109171	hsa:57606
ENSG00000109320	hsa:4790
ENSG00000109381	hsa:1998
ENSG00000110060	hsa:83480
ENSG00000110063	hsa:28960
ENSG00000110429	hsa:26273
ENSG00000110442	hsa:29099
ENSG00000110799	hsa:7450
ENSG00000110844	hsa:25766
ENSG00000110906	hsa:83892
ENSG00000111012	hsa:1594
ENSG00000111206	hsa:2305
ENSG00000111224	hsa:57097
ENSG00000111364	hsa:57696
ENSG00000111450	hsa:2054
ENSG00000111554	hsa:56890
ENSG00000111667	hsa:8078
ENSG00000111727	hsa:29915
ENSG00000111796	hsa:3820
ENSG00000111817	hsa:29940
ENSG00000111961	hsa:23328
ENSG00000112237	hsa:892
ENSG00000112242	hsa:1871
ENSG00000112312	hsa:51053
ENSG00000112584	hsa:84498
ENSG00000112701	hsa:26054
ENSG00000112837	hsa:9096
ENSG00000112996	hsa:10884
ENSG00000113083	hsa:4015
ENSG00000113211	hsa:56130
ENSG00000113231	hsa:8622
ENSG00000113391	hsa:83989
ENSG00000113558	hsa:6500
ENSG00000113580	hsa:2908
ENSG00000113658	hsa:4090
ENSG00000113810	hsa:10051
ENSG00000113811	hsa:58515
ENSG00000114030	hsa:3836
ENSG00000114062	hsa:7337
ENSG00000114098	hsa:25852
ENSG00000114346	hsa:1894
ENSG00000114439	hsa:56987
ENSG00000114446	hsa:55081
ENSG00000114554	hsa:5361
ENSG00000114573	hsa:523
ENSG00000115183	hsa:85461
ENSG00000115233	hsa:10213
ENSG00000115274	hsa:83444
ENSG00000115350	hsa:56655
ENSG00000115840	hsa:8604
ENSG00000116001	hsa:7072
ENSG00000116044	hsa:4780
ENSG00000116062	hsa:2956
ENSG00000116120	hsa:10056
ENSG00000116266	hsa:6814
ENSG00000116455	hsa:79084
ENSG00000116649	hsa:6723
ENSG00000116691	hsa:60672
ENSG00000116918	hsa:7257
ENSG00000117399	hsa:991
ENSG00000117697	hsa:25936
ENSG00000118985	hsa:22936
ENSG00000119138	hsa:687
ENSG00000119328	hsa:54942
ENSG00000119630	hsa:5228
ENSG00000119689	hsa:1743
ENSG00000119718	hsa:8892
ENSG00000119953	hsa:10285
ENSG00000120071	hsa:284058
ENSG00000120253	hsa:348995
ENSG00000120314	hsa:54853
ENSG00000120526	hsa:84955
ENSG00000120685	hsa:80209
ENSG00000120693	hsa:4093
ENSG00000120798	hsa:7181
ENSG00000120868	hsa:317
ENSG00000121060	hsa:7706
ENSG00000121068	hsa:6909
ENSG00000121361	hsa:3764
ENSG00000121406	hsa:256051
ENSG00000121486	hsa:81627
ENSG00000121552	hsa:1475
ENSG00000121671	hsa:1408
ENSG00000121741	hsa:7750
ENSG00000121988	hsa:84083
ENSG00000122335	hsa:84947
ENSG00000122359	hsa:311
ENSG00000122483	hsa:343099
ENSG00000122550	hsa:55975
ENSG00000122643	hsa:51251
ENSG00000122882	hsa:11319
ENSG00000122965	hsa:9904
ENSG00000123119	hsa:64168
ENSG00000123143	hsa:5585
ENSG00000123388	hsa:3227
ENSG00000123444	hsa:55709
ENSG00000123485	hsa:55355
ENSG00000123594	hsa:92552
ENSG00000123595	hsa:9367
ENSG00000123610	hsa:7130
ENSG00000123684	hsa:9926
ENSG00000124207	hsa:1434
ENSG00000124275	hsa:4552
ENSG00000124356	hsa:10617
ENSG00000124357	hsa:55577
ENSG00000124496	hsa:55809
ENSG00000124571	hsa:57510
ENSG00000124784	hsa:83732
ENSG00000124788	hsa:6310
ENSG00000124795	hsa:7913
ENSG00000124920	hsa:745
ENSG00000125089	hsa:54436
ENSG00000125266	hsa:1948
ENSG00000125703	hsa:84938
ENSG00000125744	hsa:6253
ENSG00000125755	hsa:8189
ENSG00000125843	hsa:55317
ENSG00000125850	hsa:58495
ENSG00000125952	hsa:4149
ENSG00000125962	hsa:64860
ENSG00000126003	hsa:5326
ENSG00000126254	hsa:79171
ENSG00000126461	hsa:58506
ENSG00000126861	hsa:4974
ENSG00000127081	hsa:83744
ENSG00000127334	hsa:8445
ENSG00000127445	hsa:5300
ENSG00000127481	hsa:23352
ENSG00000127804	hsa:79066
ENSG00000128335	hsa:23780
ENSG00000128510	hsa:51200
ENSG00000128513	hsa:25913
ENSG00000128606	hsa:10234
ENSG00000128805	hsa:58504
ENSG00000129152	hsa:4654
ENSG00000129250	hsa:10749
ENSG00000129657	hsa:6397
ENSG00000129757	hsa:1028
ENSG00000129810	hsa:151648
ENSG00000129933	hsa:23383
ENSG00000130119	hsa:54552
ENSG00000130159	hsa:51295
ENSG00000130244	hsa:147965
ENSG00000130313	hsa:25796
ENSG00000130413	hsa:65975
ENSG00000130475	hsa:23149
ENSG00000130544	hsa:79230
ENSG00000130699	hsa:6874
ENSG00000130707	hsa:445
ENSG00000130749	hsa:23211
ENSG00000130803	hsa:57693
ENSG00000130810	hsa:56342
ENSG00000130813	hsa:55337
ENSG00000130940	hsa:54897
ENSG00000131263	hsa:51132
ENSG00000131759	hsa:5914
ENSG00000131845	hsa:57343
ENSG00000131941	hsa:85415
ENSG00000131979	hsa:2643
ENSG00000132002	hsa:3337
ENSG00000132109	hsa:6737
ENSG00000132122	hsa:54558
ENSG00000132326	hsa:8864
ENSG00000132394	hsa:60678
ENSG00000132424	hsa:25957
ENSG00000132603	hsa:51388
ENSG00000132604	hsa:7014
ENSG00000132670	hsa:5786
ENSG00000132692	hsa:63827
ENSG00000132763	hsa:25974
ENSG00000132953	hsa:64328
ENSG00000133103	hsa:57511
ENSG00000133193	hsa:84923
ENSG00000133422	hsa:22880
ENSG00000133619	hsa:84626
ENSG00000133739	hsa:85444
ENSG00000133812	hsa:81846
ENSG00000133895	hsa:4221
ENSG00000134138	hsa:4212
ENSG00000134371	hsa:79577
ENSG00000134516	hsa:1794
ENSG00000134954	hsa:2113
ENSG00000135148	hsa:10906
ENSG00000135297	hsa:25821
ENSG00000135315	hsa:22832
ENSG00000135341	hsa:6885
ENSG00000135424	hsa:3679
ENSG00000135452	hsa:6302
ENSG00000135480	hsa:3855
ENSG00000135698	hsa:10200
ENSG00000135747	-
ENSG00000135775	hsa:22796
ENSG00000135917	hsa:80704
ENSG00000135968	hsa:9648
ENSG00000136152	hsa:83548
ENSG00000136197	hsa:79020
ENSG00000136485	hsa:10238
ENSG00000136518	hsa:86
ENSG00000136816	hsa:27348
ENSG00000136867	hsa:1318
ENSG00000136930	hsa:5695
ENSG00000136936	hsa:7507
ENSG00000137161	hsa:10695
ENSG00000137185	hsa:7746
ENSG00000137200	hsa:23070
ENSG00000137265	hsa:3662
ENSG00000137266	hsa:63027
ENSG00000137501	hsa:54843
ENSG00000137513	hsa:79731
ENSG00000137804	hsa:51203
ENSG00000137815	hsa:23168
ENSG00000137960	hsa:54810
ENSG00000137962	hsa:9411
ENSG00000138182	hsa:9585
ENSG00000138398	hsa:9360
ENSG00000138587	hsa:55329
ENSG00000138629	hsa:84993
ENSG00000138675	hsa:2250
ENSG00000138785	hsa:57117
ENSG00000138814	hsa:5530
ENSG00000138835	hsa:5998
ENSG00000139146	hsa:58516
ENSG00000139579	hsa:79035
ENSG00000139597	hsa:90634
ENSG00000139618	hsa:675
ENSG00000140093	hsa:51156
ENSG00000140259	hsa:4236
ENSG00000140525	hsa:55215
ENSG00000140538	hsa:4916
ENSG00000140548	hsa:374655
ENSG00000140577	hsa:64784
ENSG00000140987	hsa:54925
ENSG00000141030	hsa:8533
ENSG00000141098	hsa:81577
ENSG00000141258	hsa:9905
ENSG00000141447	hsa:114876
ENSG00000141497	hsa:84225
ENSG00000141499	hsa:55135
ENSG00000141569	hsa:201292
ENSG00000141580	hsa:56270
ENSG00000141622	hsa:494470
ENSG00000141699	hsa:162427
ENSG00000141971	hsa:93343
ENSG00000142039	hsa:90324
ENSG00000142330	hsa:11132
ENSG00000142459	hsa:115704
ENSG00000143032	hsa:343472
ENSG00000143061	hsa:3321
ENSG00000143207	hsa:64326
ENSG00000143222	hsa:51506
ENSG00000143379	hsa:9869
ENSG00000143420	hsa:2029
ENSG00000143443	hsa:54964
ENSG00000143458	hsa:126626
ENSG00000143633	hsa:128061
ENSG00000143727	hsa:52
ENSG00000143751	hsa:163859
ENSG00000143793	hsa:79169
ENSG00000143847	hsa:8497
ENSG00000143889	hsa:92906
ENSG00000143971	hsa:54465
ENSG00000144021	hsa:9391
ENSG00000144043	hsa:113419
ENSG00000144218	hsa:3899
ENSG00000144354	hsa:83879
ENSG00000144401	hsa:151194
ENSG00000144426	hsa:65065
ENSG00000144485	hsa:55502
ENSG00000144504	hsa:51281
ENSG00000144597	hsa:85403
ENSG00000144655	hsa:64651
ENSG00000144671	hsa:9389
ENSG00000144712	hsa:23066
ENSG00000145194	hsa:9718
ENSG00000145348	hsa:93627
ENSG00000145362	hsa:287
ENSG00000145734	hsa:55814
ENSG00000145912	hsa:55651
ENSG00000146122	hsa:23500
ENSG00000146386	hsa:58527
ENSG00000146834	hsa:56257
ENSG00000147041	hsa:94122
ENSG00000147044	hsa:8573
ENSG00000147081	hsa:8852
ENSG00000147162	hsa:8473
ENSG00000147316	hsa:79648
ENSG00000147324	hsa:9258
ENSG00000147381	hsa:4103
ENSG00000147382	-
ENSG00000147421	hsa:79618
ENSG00000147457	hsa:91782
ENSG00000148335	hsa:28989
ENSG00000148671	hsa:10974
ENSG00000148688	hsa:10556
ENSG00000149231	hsa:79780
ENSG00000149243	hsa:283212
ENSG00000149532	hsa:79869
ENSG00000149923	hsa:5531
ENSG00000150459	hsa:10284
ENSG00000150773	hsa:120379
ENSG00000150782	hsa:3606
ENSG00000151116	hsa:55293
ENSG00000151553	hsa:57700
ENSG00000151835	hsa:26278
ENSG00000151838	hsa:729665
ENSG00000151883	hsa:79668
ENSG00000151914	hsa:667
ENSG00000152133	hsa:253635
ENSG00000152193	hsa:79596
ENSG00000152242	hsa:147339
ENSG00000152382	hsa:117143
ENSG00000152601	hsa:4154
ENSG00000152944	hsa:9412
ENSG00000153147	hsa:8467
ENSG00000153310	hsa:51571
ENSG00000153406	hsa:57407
ENSG00000153487	hsa:3621
ENSG00000153975	hsa:221302
ENSG00000154227	hsa:204219
ENSG00000154813	hsa:285381
ENSG00000154832	hsa:30827
ENSG00000154957	hsa:7566
ENSG00000155034	hsa:80028
ENSG00000155097	hsa:528
ENSG00000155189	hsa:55326
ENSG00000155393	hsa:55027
ENSG00000155506	hsa:23367
ENSG00000155530	hsa:136332
ENSG00000155666	hsa:79831
ENSG00000155755	hsa:65062
ENSG00000156050	hsa:145483
ENSG00000156110	hsa:132
ENSG00000156521	hsa:219743
ENSG00000156599	hsa:25921
ENSG00000156735	hsa:9530
ENSG00000157110	hsa:11030
ENSG00000157379	hsa:115817
ENSG00000157554	hsa:2078
ENSG00000157578	hsa:150082
ENSG00000157954	hsa:26100
ENSG00000158163	hsa:199221
ENSG00000158321	hsa:26053
ENSG00000158526	hsa:90121
ENSG00000158717	hsa:115992
ENSG00000158793	hsa:4817
ENSG00000158863	hsa:64760
ENSG00000159346	hsa:51094
ENSG00000159352	hsa:5710
ENSG00000159479	hsa:112950
ENSG00000159784	hsa:9715
ENSG00000159788	hsa:6002
ENSG00000159871	hsa:284348
ENSG00000159873	hsa:150275
ENSG00000159884	hsa:203260
ENSG00000159899	hsa:4882
ENSG00000160193	hsa:10785
ENSG00000160207	hsa:11077
ENSG00000160226	hsa:755
ENSG00000160563	hsa:9442
ENSG00000160789	hsa:4000
ENSG00000160908	hsa:84124
ENSG00000160959	hsa:9684
ENSG00000161547	hsa:6427
ENSG00000161980	hsa:51728
ENSG00000161981	hsa:79622
ENSG00000162241	hsa:283130
ENSG00000162302	hsa:8986
ENSG00000162366	hsa:10158
ENSG00000162521	hsa:5928
ENSG00000162616	hsa:11080
ENSG00000162688	hsa:178
ENSG00000162892	hsa:11009
ENSG00000162896	hsa:5284
ENSG00000163001	hsa:112942
ENSG00000163006	hsa:165055
ENSG00000163132	hsa:4487
ENSG00000163166	hsa:55677
ENSG00000163378	hsa:285203
ENSG00000163382	hsa:128240
ENSG00000163428	hsa:116064
ENSG00000163444	hsa:653659; hsa:92703
ENSG00000163510	hsa:57703
ENSG00000163516	hsa:55139
ENSG00000163634	hsa:80145
ENSG00000163635	hsa:6314
ENSG00000163710	hsa:26577
ENSG00000163738	hsa:441024
ENSG00000163743	hsa:25898
ENSG00000163867	hsa:9204
ENSG00000163874	hsa:80149
ENSG00000163877	hsa:79753
ENSG00000163930	hsa:8314
ENSG00000163961	hsa:165918
ENSG00000164002	hsa:64789
ENSG00000164024	hsa:23173
ENSG00000164031	hsa:79982
ENSG00000164080	hsa:23132
ENSG00000164136	hsa:3600
