ENSG00000000460	hsa:55732
ENSG00000001036	hsa:2519
ENSG00000001460	hsa:90529
ENSG00000001461	hsa:57185
ENSG00000003756	hsa:10181
ENSG00000004534	hsa:10180
ENSG00000004700	hsa:5965
ENSG00000004897	hsa:996
ENSG00000005001	hsa:64063
ENSG00000005007	hsa:5976
ENSG00000005156	hsa:3980
ENSG00000005194	hsa:57019
ENSG00000005238	hsa:80256
ENSG00000005302	hsa:10943
ENSG00000005339	hsa:1387
ENSG00000005471	hsa:5244
ENSG00000005483	hsa:55904
ENSG00000005513	hsa:30812
ENSG00000005700	hsa:25998
ENSG00000005882	hsa:5164
ENSG00000005955	-
ENSG00000006282	hsa:64847
ENSG00000006459	hsa:80853
ENSG00000006534	hsa:221
ENSG00000006715	hsa:27072
ENSG00000006744	hsa:60528
ENSG00000007001	hsa:151531
ENSG00000007314	hsa:6329
ENSG00000007372	hsa:5080
ENSG00000008086	hsa:6792
ENSG00000008130	hsa:65220
ENSG00000008196	hsa:7021
ENSG00000008277	hsa:53616
ENSG00000008405	hsa:1407
ENSG00000008441	hsa:4784
ENSG00000009954	hsa:9031
ENSG00000010030	hsa:51513
ENSG00000010072	hsa:83932
ENSG00000010244	hsa:7756
ENSG00000010318	hsa:51533
ENSG00000010810	hsa:2534
ENSG00000010818	hsa:3097
ENSG00000011105	hsa:10867
ENSG00000011243	hsa:26993
ENSG00000011260	hsa:51096
ENSG00000011304	hsa:5725
ENSG00000011405	hsa:5286
ENSG00000011426	hsa:54443
ENSG00000011451	hsa:58525
ENSG00000011523	hsa:23177
ENSG00000012061	hsa:2067
ENSG00000012211	hsa:4007
ENSG00000012504	hsa:9971
ENSG00000012963	hsa:55148
ENSG00000013503	hsa:55703
ENSG00000013523	hsa:23357
ENSG00000013573	hsa:1663
ENSG00000014138	hsa:23649
ENSG00000014164	hsa:23144
ENSG00000015133	hsa:440193
ENSG00000015153	hsa:10138
ENSG00000015171	hsa:10771
ENSG00000015285	hsa:7454
ENSG00000015413	hsa:1800
ENSG00000015479	hsa:9782
ENSG00000016082	hsa:3670
ENSG00000018610	hsa:63932
ENSG00000019144	hsa:23187
ENSG00000019549	hsa:6591
ENSG00000020256	hsa:55734
ENSG00000020426	hsa:4331
ENSG00000020922	hsa:4361
ENSG00000021776	hsa:9716
ENSG00000022277	hsa:51507
ENSG00000022840	hsa:9921
ENSG00000023572	hsa:51022
ENSG00000023697	hsa:51071
ENSG00000024048	hsa:23304
ENSG00000024526	hsa:55635
ENSG00000025708	hsa:1890
