KEGG_Primary_class	KEGG_secondary_class	KEGG_pathway_ID	pathway_name	# genes in pathway	genes in chosen	# genes in chosen	genes in HSA_background	#genes in HSA_background	%(chosen/HSA_background)
Organismal Systems	Endocrine system	hsa04911	  "Insulin secretion - Homo sapiens (human)"	86	['hsa:2778', 'hsa:3783', 'hsa:1386', 'hsa:1385', 'hsa:468', 'hsa:54795', 'hsa:109', 'hsa:148327', 'hsa:3782', 'hsa:9586', 'hsa:5331', 'hsa:27094', 'hsa:5613', 'hsa:1388']	14	['hsa:27094', 'hsa:112', 'hsa:23236', 'hsa:5613', 'hsa:27445', 'hsa:6262', 'hsa:1388', 'hsa:468', 'hsa:54795', 'hsa:6616', 'hsa:5330', 'hsa:109', 'hsa:148327', 'hsa:3782', 'hsa:9586', 'hsa:5331', 'hsa:5578', 'hsa:90993', 'hsa:2695', 'hsa:115', 'hsa:6833', 'hsa:2778', 'hsa:3783', 'hsa:2645', 'hsa:10488', 'hsa:1386', 'hsa:6513', 'hsa:1385']	28	50.0
Organismal Systems	Digestive system	hsa04974	  "Protein digestion and absorption - Homo sapiens (human)"	90	['hsa:1299', 'hsa:3783', 'hsa:6505', 'hsa:1280', 'hsa:1506', 'hsa:8645', 'hsa:1290']	7	['hsa:8645', 'hsa:6520', 'hsa:80781', 'hsa:1282', 'hsa:7373', 'hsa:1290', 'hsa:5644', 'hsa:81578', 'hsa:1289', 'hsa:54407', 'hsa:1284', 'hsa:1280', 'hsa:1506', 'hsa:1291', 'hsa:1292', 'hsa:1358', 'hsa:1301', 'hsa:6550', 'hsa:6564', 'hsa:1299', 'hsa:3783', 'hsa:6510', 'hsa:6505', 'hsa:1277']	24	29.166666666666668
Organismal Systems	Immune system	hsa04650	  "Natural killer cell mediated cytotoxicity - Homo sapiens (human)"	134	['hsa:2534', 'hsa:6452', 'hsa:5594', 'hsa:6655', 'hsa:4773', 'hsa:5595', 'hsa:5777', 'hsa:5894', 'hsa:3460', 'hsa:3689', 'hsa:836', 'hsa:2885', 'hsa:27040']	13	['hsa:836', 'hsa:135250', 'hsa:5604', 'hsa:2885', 'hsa:5781', 'hsa:5551', 'hsa:3932', 'hsa:5336', 'hsa:3133', 'hsa:27040', 'hsa:5290', 'hsa:5335', 'hsa:5605', 'hsa:25759', 'hsa:80328', 'hsa:5894', 'hsa:5879', 'hsa:5530', 'hsa:7409', 'hsa:3454', 'hsa:5295', 'hsa:5058', 'hsa:5578', 'hsa:3455', 'hsa:3460', 'hsa:3689', 'hsa:6464', 'hsa:2534', 'hsa:637', 'hsa:355', 'hsa:3459', 'hsa:6452', 'hsa:3383', 'hsa:5594', 'hsa:3002', 'hsa:6655', 'hsa:4773', 'hsa:5595', 'hsa:8797', 'hsa:5777', 'hsa:6654', 'hsa:8503', 'hsa:2185', 'hsa:5533']	44	29.545454545454547
Cellular Processes	Transport and catabolism	hsa04142	  "Lysosome - Homo sapiens (human)"	123	['hsa:175', 'hsa:8943', 'hsa:23659', 'hsa:55353', 'hsa:8546']	5	['hsa:256471', 'hsa:1508', 'hsa:164', 'hsa:2990', 'hsa:2720', 'hsa:8722', 'hsa:1212', 'hsa:768239', 'hsa:23545', 'hsa:9516', 'hsa:3482', 'hsa:9583', 'hsa:5660', 'hsa:4758', 'hsa:1211', 'hsa:968', 'hsa:10053', 'hsa:8546', 'hsa:6272', 'hsa:10717', 'hsa:967', 'hsa:1515', 'hsa:950', 'hsa:2588', 'hsa:1213', 'hsa:1520', 'hsa:3920', 'hsa:535', 'hsa:175', 'hsa:1497', 'hsa:51606', 'hsa:5476', 'hsa:8943', 'hsa:9741', 'hsa:537', 'hsa:23431', 'hsa:84572', 'hsa:57192', 'hsa:26088', 'hsa:410', 'hsa:5641', 'hsa:1522', 'hsa:54', 'hsa:23659', 'hsa:23062', 'hsa:8120', 'hsa:1512', 'hsa:55353', 'hsa:4125', 'hsa:50617', 'hsa:4126', 'hsa:10312', 'hsa:533', 'hsa:26503']	54	9.25925925925926
Organismal Systems	Endocrine system	hsa04912	  "GnRH signaling pathway - Homo sapiens (human)"	92	['hsa:2778', 'hsa:5594', 'hsa:6655', 'hsa:5595', 'hsa:5608', 'hsa:1432', 'hsa:2002', 'hsa:468', 'hsa:5894', 'hsa:109', 'hsa:5331', 'hsa:5580', 'hsa:3725', 'hsa:2885', 'hsa:5613', 'hsa:4215']	16	['hsa:5580', 'hsa:5598', 'hsa:5604', 'hsa:10746', 'hsa:112', 'hsa:3725', 'hsa:2885', 'hsa:51806', 'hsa:23236', 'hsa:5613', 'hsa:5600', 'hsa:6300', 'hsa:6714', 'hsa:801', 'hsa:4215', 'hsa:2002', 'hsa:5605', 'hsa:468', 'hsa:5338', 'hsa:5894', 'hsa:5330', 'hsa:109', 'hsa:1956', 'hsa:5331', 'hsa:3708', 'hsa:5578', 'hsa:115', 'hsa:5606', 'hsa:5601', 'hsa:6416', 'hsa:998', 'hsa:5337', 'hsa:4216', 'hsa:4313', 'hsa:2778', 'hsa:4214', 'hsa:5594', 'hsa:6655', 'hsa:5595', 'hsa:5608', 'hsa:1432', 'hsa:6654', 'hsa:5321', 'hsa:2185']	44	36.36363636363637
Metabolism	Lipid metabolism	hsa00071	  "Fatty acid degradation - Homo sapiens (human)"	44	['hsa:37', 'hsa:35', 'hsa:2180', 'hsa:1376', 'hsa:51', 'hsa:1632']	6	['hsa:501', 'hsa:10449', 'hsa:1632', 'hsa:36', 'hsa:51703', 'hsa:10455', 'hsa:35', 'hsa:1892', 'hsa:81616', 'hsa:219', 'hsa:3033', 'hsa:223', 'hsa:2180', 'hsa:1376', 'hsa:51', 'hsa:30', 'hsa:2182', 'hsa:37', 'hsa:38', 'hsa:3030', 'hsa:8310', 'hsa:2639', 'hsa:1374', 'hsa:33', 'hsa:34', 'hsa:39']	26	23.076923076923077
Human Diseases	Cancers	hsa05210	  "Colorectal cancer - Homo sapiens (human)"	62	['hsa:4292', 'hsa:2932', 'hsa:7042', 'hsa:4436', 'hsa:5594', 'hsa:5595', 'hsa:595', 'hsa:4437', 'hsa:7043', 'hsa:5894', 'hsa:51176', 'hsa:7157', 'hsa:207', 'hsa:6934', 'hsa:5900', 'hsa:836', 'hsa:2353', 'hsa:3725']	18	['hsa:836', 'hsa:4088', 'hsa:1499', 'hsa:8313', 'hsa:5604', 'hsa:2353', 'hsa:54205', 'hsa:3725', 'hsa:5290', 'hsa:5894', 'hsa:842', 'hsa:324', 'hsa:5879', 'hsa:4609', 'hsa:51176', 'hsa:7157', 'hsa:4089', 'hsa:207', 'hsa:5295', 'hsa:6934', 'hsa:5900', 'hsa:572', 'hsa:5601', 'hsa:387', 'hsa:4292', 'hsa:2932', 'hsa:332', 'hsa:7042', 'hsa:4436', 'hsa:5594', 'hsa:5595', 'hsa:8312', 'hsa:7040', 'hsa:7046', 'hsa:595', 'hsa:4437', 'hsa:2956', 'hsa:10000', 'hsa:8503', 'hsa:7043']	40	45.0
Human Diseases	Cancers	hsa05206	  "MicroRNAs in cancer - Homo sapiens (human)"	297	['hsa:1387', 'hsa:8626', 'hsa:1789', 'hsa:7042', 'hsa:25', 'hsa:5594', 'hsa:2033', 'hsa:6655', 'hsa:9252', 'hsa:1869', 'hsa:90427', 'hsa:898', 'hsa:2146', 'hsa:595', 'hsa:900', 'hsa:27086', 'hsa:7143', 'hsa:3065', 'hsa:894', 'hsa:1788', 'hsa:6659', 'hsa:1786', 'hsa:5894', 'hsa:4193', 'hsa:9493', 'hsa:7157', 'hsa:4170', 'hsa:113130', 'hsa:1029', 'hsa:6935', 'hsa:8091', 'hsa:27250', 'hsa:995', 'hsa:836', 'hsa:3190', 'hsa:2885', 'hsa:4194', 'hsa:659']	38	['hsa:993', 'hsa:836', 'hsa:3190', 'hsa:5598', 'hsa:54541', 'hsa:6774', 'hsa:5604', 'hsa:3667', 'hsa:9839', 'hsa:5728', 'hsa:2885', 'hsa:8660', 'hsa:5154', 'hsa:5336', 'hsa:4194', 'hsa:659', 'hsa:5268', 'hsa:131405', 'hsa:5290', 'hsa:5328', 'hsa:5335', 'hsa:1026', 'hsa:6659', 'hsa:5605', 'hsa:1786', 'hsa:5894', 'hsa:324', 'hsa:4193', 'hsa:10253', 'hsa:4609', 'hsa:5292', 'hsa:5962', 'hsa:9493', 'hsa:7157', 'hsa:57521', 'hsa:2064', 'hsa:4170', 'hsa:1944', 'hsa:1956', 'hsa:113130', 'hsa:1029', 'hsa:6935', 'hsa:8091', 'hsa:27250', 'hsa:5578', 'hsa:4325', 'hsa:995', 'hsa:85414', 'hsa:6464', 'hsa:3678', 'hsa:1387', 'hsa:672', 'hsa:7431', 'hsa:960', 'hsa:3371', 'hsa:2065', 'hsa:387', 'hsa:9759', 'hsa:11186', 'hsa:8626', 'hsa:4854', 'hsa:6624', 'hsa:5243', 'hsa:1789', 'hsa:7430', 'hsa:7042', 'hsa:23411', 'hsa:25', 'hsa:1399', 'hsa:5594', 'hsa:7078', 'hsa:3162', 'hsa:2033', 'hsa:6655', 'hsa:9252', 'hsa:4318', 'hsa:994', 'hsa:1869', 'hsa:4363', 'hsa:7329', 'hsa:90427', 'hsa:7976', 'hsa:3551', 'hsa:898', 'hsa:1021', 'hsa:4233', 'hsa:2146', 'hsa:4790', 'hsa:595', 'hsa:1027', 'hsa:1871', 'hsa:7422', 'hsa:900', 'hsa:5159', 'hsa:27086', 'hsa:6654', 'hsa:7143', 'hsa:3065', 'hsa:3925', 'hsa:894', 'hsa:1788']	101	37.62376237623762
Organismal Systems	Development	hsa04380	  "Osteoclast differentiation - Homo sapiens (human)"	131	['hsa:2534', 'hsa:2355', 'hsa:1540', 'hsa:7042', 'hsa:5594', 'hsa:4773', 'hsa:5595', 'hsa:5608', 'hsa:1432', 'hsa:1385', 'hsa:3727', 'hsa:207', 'hsa:814', 'hsa:3460', 'hsa:2353', 'hsa:3726', 'hsa:8061', 'hsa:3725', 'hsa:2885']	19	['hsa:5604', 'hsa:2353', 'hsa:6773', 'hsa:3726', 'hsa:5970', 'hsa:7189', 'hsa:8061', 'hsa:3725', 'hsa:2885', 'hsa:3932', 'hsa:5600', 'hsa:6300', 'hsa:5336', 'hsa:1147', 'hsa:10379', 'hsa:5290', 'hsa:7186', 'hsa:3727', 'hsa:6885', 'hsa:5879', 'hsa:5530', 'hsa:8792', 'hsa:3454', 'hsa:207', 'hsa:5295', 'hsa:814', 'hsa:3455', 'hsa:3460', 'hsa:8878', 'hsa:695', 'hsa:2534', 'hsa:3459', 'hsa:5601', 'hsa:7132', 'hsa:2355', 'hsa:4791', 'hsa:1540', 'hsa:7042', 'hsa:54209', 'hsa:5594', 'hsa:10454', 'hsa:4792', 'hsa:4773', 'hsa:54', 'hsa:5595', 'hsa:3551', 'hsa:5971', 'hsa:7040', 'hsa:7297', 'hsa:10990', 'hsa:7046', 'hsa:5608', 'hsa:4790', 'hsa:1432', 'hsa:6772', 'hsa:2274', 'hsa:4688', 'hsa:10000', 'hsa:8503', 'hsa:1385', 'hsa:5533']	61	31.147540983606557
Human Diseases	Infectious diseases	hsa05130	  "Pathogenic Escherichia coli infection - Homo sapiens (human)"	55	['hsa:2534', 'hsa:7454', 'hsa:25', 'hsa:10094', 'hsa:4691', 'hsa:9181', 'hsa:7099']	7	['hsa:1499', 'hsa:7100', 'hsa:100506658', 'hsa:10552', 'hsa:10095', 'hsa:9475', 'hsa:7099', 'hsa:3688', 'hsa:5578', 'hsa:23643', 'hsa:4690', 'hsa:10109', 'hsa:2534', 'hsa:7454', 'hsa:999', 'hsa:387', 'hsa:998', 'hsa:60', 'hsa:7430', 'hsa:25', 'hsa:8976', 'hsa:3875', 'hsa:10094', 'hsa:4691', 'hsa:9181']	25	28.000000000000004
