"Gene","Main location","Other location","Expression type","Reliability"
"ENSG00000000003","Cytoplasm","","APE","Uncertain"
"ENSG00000000457","Cytoskeleton (Microtubules)","Nucleus but not nucleoli;Golgi apparatus","APE","Uncertain"
"ENSG00000000460","Nucleus but not nucleoli;Mitochondria","","APE","Uncertain"
"ENSG00000001036","Nucleus but not nucleoli;Mitochondria","","APE","Uncertain"
"ENSG00000001084","Nucleus;Nucleoli","Cytoplasm","APE","Supportive"
"ENSG00000001460","Nucleus","Nuclear membrane","APE","Supportive"
"ENSG00000001461","Nucleus but not nucleoli","","APE","Uncertain"
"ENSG00000001497","Nucleus but not nucleoli","Cytoplasm;Microtubule organizing center","APE","Supportive"
"ENSG00000001629","Cytoplasm","Plasma membrane","APE","Supportive"
"ENSG00000001630","Endoplasmic reticulum","","APE","Supportive"
"ENSG00000001631","Vesicles","","APE","Uncertain"
"ENSG00000002330","Mitochondria","","APE","Supportive"
"ENSG00000002549","Cytoplasm","","APE","Supportive"
"ENSG00000002586","Golgi apparatus","","APE","Uncertain"
"ENSG00000002726","","","APE","Uncertain"
"ENSG00000002822","Nucleus","Cytoplasm;Cytoskeleton (Actin filaments)","APE","Supportive"
"ENSG00000002834","Plasma membrane;Cytoplasm","Focal Adhesions","APE","Supportive"
"ENSG00000002919","Cytoplasm","","APE","Uncertain"
"ENSG00000002933","Mitochondria","","APE","Uncertain"
"ENSG00000003137","Cytoplasm","","APE","Uncertain"
"ENSG00000003249","Nucleus","Cytoplasm","APE","Uncertain"
"ENSG00000003393","Cytoplasm;Cytoskeleton (Intermediate filaments)","","APE","Uncertain"
"ENSG00000003402","Nucleus;Plasma membrane;Cytoplasm","","APE","Supportive"
"ENSG00000003436","Cytoplasm","Cytoskeleton (Intermediate filaments)","APE","Uncertain"
"ENSG00000003756","Nucleus but not nucleoli","","APE","Supportive"
"ENSG00000004139","Vesicles","","APE","Uncertain"
"ENSG00000004468","Plasma membrane;Vesicles","","APE","Uncertain"
"ENSG00000004478","Cytoplasm","Nucleus but not nucleoli","APE","Supportive"
"ENSG00000004487","Nucleus but not nucleoli","Cytoplasm","APE","Supportive"
"ENSG00000004534","Nucleus but not nucleoli","","APE","Supportive"
"ENSG00000004660","Cytoplasm","","APE","Supportive"
"ENSG00000004700","Nucleus but not nucleoli","","APE","Supportive"
"ENSG00000004766","Cytoplasm","Nucleoli;Plasma membrane","APE","Supportive"
"ENSG00000004777","Plasma membrane","Cytoplasm;Cytoskeleton (Actin filaments)","APE","Uncertain"
"ENSG00000004838","Plasma membrane;Cytoplasm","","APE","Uncertain"
"ENSG00000004864","Mitochondria","","APE","Supportive"
"ENSG00000004866","Nucleus but not nucleoli","Cytoplasm","APE","Supportive"
"ENSG00000004897","Nucleus but not nucleoli","","APE","Supportive"
"ENSG00000004961","Mitochondria","","APE","Uncertain"
"ENSG00000004975","Golgi apparatus","Nucleus but not nucleoli;Cytoplasm","APE","Uncertain"
"ENSG00000005001","Nucleus but not nucleoli","","APE","Uncertain"
"ENSG00000005007","Nucleus but not nucleoli","","APE","Supportive"
"ENSG00000005020","Nucleus but not nucleoli","Cytoplasm","APE","Supportive"
"ENSG00000005059","Nucleus but not nucleoli;Cytoplasm","","APE","Uncertain"
"ENSG00000005102","Nucleoli","Mitochondria","APE","Uncertain"
"ENSG00000005156","Nucleus","","APE","Supportive"
"ENSG00000005175","Cytoplasm","","APE","Supportive"
"ENSG00000005189","Nuclear membrane","Nucleoli;Cytoplasm","APE","Uncertain"
"ENSG00000005194","Nucleus but not nucleoli","","APE","Supportive"
